rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
2,Augusta National,"Augusta, GA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
3,Cypress Point,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
4,Shinnecock Hills,"Southampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
5,Oakmont,"Oakmont, PA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
6,Merion Golf Club,"Ardmore, PA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
7,Pebble Beach,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
8,National Golf Links of America,"Southampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
9,Sand Hills,"Mullen, NE",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
10,Fishers Island,"Fishers Island, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
11,Winged Foot – West,"Mamaroneck, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
12,Seminole,"Juno Beach, FL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
13,Crystal Downs,"Frankfort, MI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
14,Chicago GC,"Wheaton, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
15,Friar's Head,"Riverhead, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
16,Muirfield Village,"Dublin, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
17,Pacific Dunes,"Bandon, OR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
18,Country Club – Brookline,"Pepper Pike, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
19,LA Country Club – North,"Beavercreek, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
20,Oakland Hills – South,"Bloomfield Hills, MI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
21,Whistling Straits – Straits,"Sheboygan, WI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
22,Oak Hill – East,"Rochester, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
23,Riviera CC,"Pacific Palisades, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
24,Kiawah Island – Ocean,"Kiawah Island, SC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
25,Wade Hampton,"Cashiers, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
26,Shadow Creek,"North Las Vegas, NV",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
27,Prairie Dunes,"Hutchinson, KS",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
28,The Honors,"Ooltewah, TN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
29,Pinehurst – No 2,"Pinehurst, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
30,Peachtree,"Atlanta, GA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
31,The Alotian,"Roland, AR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
32,Gozzer Ranch,"Harrison, ID",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
33,The Olympic Club,"San Francisco, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
34,Southern Hills,"Tulsa, OK",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
35,San Francisco GC,"San Francisco, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
36,Bandon Dunes,"Bandon, OR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
37,Bethpage Black,"Farmingdale, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
38,The Golf Club,"New Albany, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
39,Sebonack,"Southampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
40,Pikewood National,"Morgantown, WV",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
41,Baltusrol – Lower,"Springfield, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
42,Erin Hills,"Hartford, WI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
43,Victoria National,"Newburgh, IN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
44,The Camargo Club,"Cincinnati, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
45,Spyglass Hill,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
46,Ballyneal,"Holyoke, CO",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
47,Butler National,"Oak Brook, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
48,Castle Pines,"Castle Rock, CO",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
49,TPC Sawgrass – Stadium,"Ponte Vedra Beach, FL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
50,Old Macdonald,"Bandon, OR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
51,Garden City,"Garden City, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
52,Winged Foot – East,"Mamaroneck, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
53,Medinah – No 3,"Medinah, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
54,Whispering Pines,"Trinity, TX",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
55,Shoreacres,"Lake Bluff, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
56,Monterey Peninsula CC – Shore,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
57,Scioto,"Columbus, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
58,Interlachen,"Edina, MN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
59,Old Sandwich,"Plymouth, MA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
60,Oak Tree National,"Edmond, OK",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
61,Baltusrol – Upper,"Springfield, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
62,Canyata Golf Club,"Marshall, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
63,Somerset Hills,"Bernardsville, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
64,Pete Dye GC,"Bridgeport, WV",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
65,Dallas National,"Dallas, TX",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
66,Kinloch – USA,"Manakin Sabot, VA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
67,Maidstone,"East Hampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
68,Arcadia Bluffs,"Arcadia, MI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
69,Bandon Trails,"Bandon, OR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
70,The Estancia Club,"Scottsdale, AZ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
71,Quaker Ridge,"Scarsdale, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
72,Cherry Hills,"Englewood, CO",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
73,Essex County Club,"Manchester, MA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
74,Milwaukee CC,"River Hills, WI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
75,Olympia Fields – North,"Olympia Fields, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
76,Myopia Hunt Club,"South Hamilton, MA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
77,Quarry at La Quinta,"La Quinta, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
78,Kittansett Club,"Marion, MA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
79,Monterey Peninsula CC – Dunes,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
80,Congressional – Blue,"Bethesda, MD",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
81,Hudson National,"Croton On Hudson, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
82,Plainfield,"Edison, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
83,Calusa Pines,"Naples, FL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
84,Valhalla,"Louisville, KY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
85,Aronimink,"Newtown Square, PA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
86,The Valley Club,"Aurora, CO",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
87,Boston GC,"Hingham, MA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
88,Inverness,"Toledo, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
89,Sleepy Hollow,"Scarborough, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
90,Diamond Creek,"Banner Elk, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
91,Club at Black Rock,"Coeur d'Alene, ID",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
92,Double Eagle,"Galena, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
93,Spring Hill Golf Club,"Orono, MN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
94,Rich Harvest Links,"Sugar Grove, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
95,Yeamans Hall,"Hanahan, SC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
96,The Preserve,"Vancleave, MS",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
97,Blackwolf Run – River,"Kohler, WI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
98,Old Town Club,"Winston Salem, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
99,Crooked Stick,"Carmel, IN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
100,Mayacama Golf Club,"Santa Rosa, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
